epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,759.446,1.11003,0.8637,1.01059,0.69555,0.41456,0.47545,0.27981,1.35084,1.13574,1.09432,0.000128424,0.000128424,0.000128424
60,772.244,1.10866,0.85364,1.00944,0.60659,0.45002,0.45831,0.27858,1.35859,1.14035,1.09807,0.000122793,0.000122793,0.000122793
61,785.213,1.10817,0.85518,1.00851,0.62808,0.42162,0.45809,0.27437,1.36396,1.15986,1.09049,0.000117163,0.000117163,0.000117163
62,797.881,1.10776,0.85642,1.00579,0.60648,0.42763,0.49683,0.28432,1.34088,1.11466,1.08677,0.000111532,0.000111532,0.000111532
63,810.475,1.09993,0.85295,1.00426,0.59324,0.42314,0.45577,0.27551,1.34828,1.13749,1.09802,0.000105901,0.000105901,0.000105901
64,823.182,1.09588,0.84188,1.00248,0.61547,0.42115,0.46397,0.28142,1.33065,1.11885,1.08575,0.000100271,0.000100271,0.000100271
65,836.333,1.09081,0.82921,1.00262,0.57953,0.4412,0.46471,0.27795,1.34121,1.14883,1.0919,9.464e-05,9.464e-05,9.464e-05
66,850.056,1.08767,0.82906,0.99951,0.59768,0.42941,0.45702,0.2813,1.33399,1.13362,1.0881,8.90094e-05,8.90094e-05,8.90094e-05
67,863.065,1.08688,0.82453,0.99778,0.58818,0.43612,0.46357,0.27363,1.3473,1.148,1.09501,8.33788e-05,8.33788e-05,8.33788e-05
68,875.773,1.0729,0.82101,0.99566,0.59538,0.42988,0.46438,0.27673,1.34671,1.1379,1.09285,7.77481e-05,7.77481e-05,7.77481e-05
69,888.303,1.08407,0.81894,0.99981,0.58992,0.42643,0.45672,0.27711,1.34784,1.15138,1.09868,7.21175e-05,7.21175e-05,7.21175e-05
70,901.034,1.07476,0.81635,0.99895,0.61596,0.41553,0.45829,0.27718,1.33902,1.14436,1.10004,6.64869e-05,6.64869e-05,6.64869e-05
71,914.266,1.08102,0.78614,0.98697,0.58651,0.43543,0.45139,0.27078,1.40503,1.16512,1.11942,6.08563e-05,6.08563e-05,6.08563e-05
72,926.732,1.05696,0.75274,0.97391,0.55354,0.43961,0.46473,0.26846,1.40055,1.18196,1.11326,5.52256e-05,5.52256e-05,5.52256e-05
73,939.17,1.04834,0.74494,0.97303,0.63659,0.41517,0.4654,0.27706,1.34487,1.16652,1.09688,4.9595e-05,4.9595e-05,4.9595e-05
74,951.462,1.04497,0.73748,0.96921,0.63729,0.41048,0.45332,0.27166,1.37403,1.15819,1.10859,4.39644e-05,4.39644e-05,4.39644e-05
75,963.74,1.03859,0.7335,0.97061,0.5943,0.42634,0.46008,0.27559,1.34783,1.17337,1.10364,3.83337e-05,3.83337e-05,3.83337e-05
76,976.37,1.0363,0.72905,0.96813,0.6408,0.40866,0.45655,0.2778,1.35319,1.15556,1.10026,3.27031e-05,3.27031e-05,3.27031e-05
77,988.739,1.02424,0.72119,0.9681,0.61622,0.41257,0.45367,0.27457,1.34498,1.1573,1.09851,2.70725e-05,2.70725e-05,2.70725e-05
78,1001.33,1.02776,0.72036,0.96363,0.62675,0.40951,0.4516,0.27569,1.35458,1.16249,1.10061,2.14419e-05,2.14419e-05,2.14419e-05
79,1013.63,1.0249,0.72078,0.9648,0.61725,0.41502,0.44912,0.27516,1.3523,1.16666,1.10185,1.58113e-05,1.58113e-05,1.58113e-05
80,1025.96,1.02654,0.7168,0.96273,0.62716,0.41004,0.45042,0.27577,1.35625,1.17047,1.10274,1.01806e-05,1.01806e-05,1.01806e-05
